# donor_id: D001
# specimen_id: SLN001
# specimen_type: Line
# analysis_type: DSA
# analysis_date: 2024-06-28
drug	gof	dss	dsss	min_dose	max_dose	dose_25	dose_50	dose_75	doses	responses
Dasatinib	0.77	0.87	0.32	1	10000	34.95	51.01	106.09	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.07,0.09,0.11,0.14,0.18,0.23,0.30,0.35,0.42,0.49,0.55,0.59,0.64,0.67,0.70,0.72,0.74,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Sorafenib	0.88	0.54	0.52	1	10000	1231.76	2553.41		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.06,0.07,0.09,0.11,0.14,0.16,0.20,0.23,0.27,0.31,0.35,0.38,0.41,0.44,0.47,0.49,0.51,0.53,0.54,0.55,0.56,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.59,0.59
Sunitinib	0.86	0.89	0.73	1	10000	195.40	337.75	726.25	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.08,0.09,0.11,0.14,0.16,0.19,0.22,0.26,0.30,0.34,0.39,0.43,0.47,0.52,0.56,0.60,0.63,0.66,0.69,0.71,0.74,0.75,0.77,0.78,0.79,0.80,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
Everolimus	0.80	0.97	0.72	1	10000	41.67	59.98	94.51	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.11,0.15,0.20,0.24,0.30,0.37,0.44,0.50,0.57,0.62,0.67,0.72,0.75,0.78,0.80,0.82,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Temsirolimus	0.92	0.97	0.78	1	10000	78.32	115.80	187.00	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.17,0.21,0.25,0.31,0.37,0.43,0.50,0.55,0.61,0.66,0.71,0.74,0.77,0.80,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Panobinostat	0.97	1.00	0.51	1	10000	142.93	194.44	274.79	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.10,0.13,0.17,0.23,0.29,0.37,0.45,0.53,0.61,0.67,0.73,0.78,0.82,0.85,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
Vorinostat	0.90	0.65	0.45	1	10000	1151.20	1878.17		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.14,0.18,0.22,0.26,0.31,0.36,0.41,0.46,0.50,0.54,0.57,0.60,0.62,0.64,0.66,0.67,0.68,0.68,0.69,0.69,0.69,0.70,0.70,0.70,0.70,0.70,0.70
Bortezomib	0.81	0.88	0.68	1	10000	53.05	79.38	158.45	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.06,0.08,0.11,0.13,0.17,0.22,0.27,0.32,0.38,0.44,0.50,0.55,0.60,0.64,0.68,0.70,0.73,0.74,0.76,0.77,0.77,0.78,0.79,0.79,0.79,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
Carfilzomib	0.82	0.96	0.86	1	10000	136.44	201.26	324.61	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.17,0.21,0.26,0.31,0.37,0.44,0.50,0.56,0.62,0.67,0.71,0.75,0.77,0.80,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Olaparib	0.78	0.95	0.83	1	10000	118.04	181.61	313.37	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.16,0.20,0.24,0.28,0.33,0.39,0.45,0.50,0.56,0.61,0.65,0.69,0.73,0.76,0.78,0.80,0.81,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
Niraparib	0.84	0.71	0.48	1	10000	2366.80	3179.64	4285.90	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.07,0.09,0.12,0.16,0.22,0.28,0.36,0.44,0.53,0.61,0.69,0.76,0.81,0.86,0.89,0.92,0.94,0.95,0.96,0.97,0.98
Veliparib	0.84	0.72	0.49	1	10000	1250.33	2000.98	4040.70	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.15,0.18,0.22,0.27,0.31,0.36,0.41,0.46,0.51,0.56,0.60,0.64,0.67,0.70,0.73,0.75,0.76,0.77,0.78,0.79,0.80,0.80,0.81,0.81,0.81,0.82
Trametinib	0.90	0.13	-0.03	1	10000	7768.38			1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.10,0.13,0.18,0.23,0.30,0.37,0.45
