# donor_id: D003
# specimen_id: SLN001
# specimen_type: Line
# analysis_type: DSA
# analysis_date: 2022-09-16
drug	gof	dss	dsss	min_dose	max_dose	dose_25	dose_50	dose_75	doses	responses
Afatinib	0.80	0.72	0.60	1	10000	760.59	1336.12		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.14,0.17,0.20,0.24,0.28,0.32,0.36,0.40,0.45,0.49,0.52,0.56,0.59,0.62,0.64,0.66,0.68,0.69,0.70,0.71,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.75
Dasatinib	0.78	1.00	0.86	1	10000	47.23	66.29	97.30	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.10,0.14,0.17,0.22,0.29,0.36,0.42,0.50,0.56,0.63,0.69,0.74,0.78,0.82,0.84,0.86,0.88,0.89,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
Sorafenib	0.88	0.61	0.53	1	10000	825.87	1597.06		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.14,0.17,0.21,0.24,0.28,0.32,0.36,0.40,0.43,0.46,0.49,0.52,0.54,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Sunitinib	0.90	0.99	0.90	1	10000	208.37	335.38	567.50	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.09,0.11,0.14,0.16,0.20,0.23,0.28,0.32,0.37,0.42,0.47,0.53,0.58,0.62,0.67,0.71,0.74,0.78,0.80,0.83,0.85,0.86,0.87,0.89,0.89,0.90,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
Everolimus	0.86	0.91	0.69	1	10000	79.65	114.74	197.09	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.07,0.09,0.12,0.15,0.19,0.25,0.31,0.37,0.44,0.50,0.56,0.61,0.66,0.70,0.73,0.75,0.77,0.79,0.80,0.80,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
Temsirolimus	0.89	0.85	0.65	1	10000	51.24	76.81	178.89	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.12,0.14,0.18,0.24,0.29,0.35,0.41,0.46,0.52,0.57,0.61,0.65,0.68,0.70,0.72,0.73,0.74,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Panobinostat	0.91	1.00	0.85	1	10000	294.25	392.99	524.87	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.10,0.14,0.19,0.24,0.31,0.39,0.48,0.57,0.65,0.73,0.79,0.84,0.89,0.92,0.94,0.96,0.97,0.98,0.98,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Vorinostat	0.84	0.56	0.28	1	10000	1713.48	2959.07		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.06,0.07,0.09,0.11,0.14,0.17,0.21,0.25,0.29,0.34,0.38,0.43,0.47,0.50,0.54,0.56,0.59,0.61,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.67,0.67
Bortezomib	0.85	0.90	0.55	1	10000	83.82	123.25	219.65	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.06,0.08,0.10,0.14,0.17,0.22,0.27,0.33,0.39,0.45,0.51,0.57,0.62,0.66,0.70,0.73,0.75,0.77,0.78,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
Carfilzomib	0.90	0.89	0.65	1	10000	83.36	124.13	236.78	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.05,0.06,0.08,0.11,0.14,0.18,0.22,0.27,0.33,0.39,0.45,0.51,0.56,0.61,0.65,0.69,0.71,0.74,0.75,0.77,0.78,0.78,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
Olaparib	0.76	0.89	0.53	1	10000	241.86	371.34	688.76	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.13,0.17,0.21,0.25,0.30,0.36,0.41,0.47,0.52,0.57,0.62,0.66,0.69,0.72,0.74,0.76,0.78,0.79,0.80,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
Niraparib	0.83	0.61	0.25	1	10000	2276.88	3177.18	5493.11	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.08,0.10,0.14,0.19,0.24,0.31,0.38,0.45,0.52,0.58,0.64,0.68,0.71,0.74,0.76,0.77,0.78,0.79,0.79,0.80,0.80
Veliparib	0.87	0.77	0.63	1	10000	481.16	779.99		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.16,0.19,0.23,0.28,0.33,0.38,0.43,0.47,0.52,0.56,0.59,0.62,0.65,0.67,0.69,0.70,0.71,0.72,0.73,0.73,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Trametinib	0.91	0.41	0.35	1	10000	4428.49	5949.89	8007.61	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.07,0.10,0.13,0.18,0.23,0.30,0.38,0.46,0.55,0.63,0.71,0.77,0.83,0.87
